"RelativePath","FileVersion","ProductVersion","CompanyName","ProductName","OriginalName","SizeBytes","SHA256"
"avi\binkplay.exe","1.0t","1.0t","RAD Game Tools, Inc.","Bink","","103936","CB2CDF626ECCB429B6CCF0C8F9B07354CBBECAC2134B677EB0AE19B956CDDE7C"
"Crusaders.exe","1.00","1.00","Paradox Entertainment","Crusader Kings","Crusaders.exe","2650177","082A7B6C2DAE774151A1403C94B9945C1F5848967C09FD3C9857329D0F74B7F9"
"dx\DSETUP.dll","4.9.0.0904","4.9.0.0904","Microsoft Corporation","Microsoft® DirectX for Windows®","dsetup.dll","94040","E533560FCA67B31433CF30BE935A88151180FEAFC4E0F50B80BA569F04111722"
"dx\dsetup32.dll","4.9.0.0904","4.9.0.0904","Microsoft Corporation","Microsoft® DirectX pour Windows®","dsetup32.dll","1691480","CE9D7814EE5B52D554199D434D654BACC2E7AE5C8EFA05E6218FBFEF9E8E33C7"
"dx\DXSETUP.exe","4.9.0.0904","4.9.0.0904","Microsoft Corporation","Microsoft® DirectX pour Windows®","dxsetup.exe","525656","CDFDC371A373CD0F0DAA00DB46BAE7E19258DD8EF7E521E57BE96CBACDBB242F"
"libbz2.dll",,,,,,"368681","0A7D0096F1BE24C0C745D04B5A3645B1CC68B09550835BD03E798F4E4AC72CDF"
"vcredist.exe","10.0.30319.01","10.0.30319.01","Microsoft Corporation","Microsoft Visual C++ 2010  x86 Redistributable","vcredist_x86.exe","5073240","8162B2D665CA52884507EDE19549E99939CE4EA4A638C537FA653539819138C8"
